File	Speaker	Gender	DateOfBirth	DateOfRecording	Participants	WordCount	SocioEconomicStatus	Locutor	Visit	OriginalAge	Age	SituationType	AgeCategory
HV1/BR/annbr1	MOT	female	1985	1989	3	1196	lower	PrimaryCaregiver	HV1	NA	4.01	Book reading	4
HV1/BR/annbr1	EX1	NA	1985	1989	3	3	lower	Other	HV1	NA	4.01	Book reading	4
HV1/BR/annbr1	EX2	NA	1985	1989	3	3	lower	Other	HV1	NA	4.01	Book reading	4
HV1/BR/aprbr1	CHI	female	1985	1989	2	3	lower	Child	HV1	3;7.26	3.6	Book reading	3
HV1/BR/aprbr1	MOT	female	1985	1989	2	968	lower	PrimaryCaregiver	HV1	NA	3.6	Book reading	3
HV1/BR/aprbr1	EX1	NA	1985	1989	2	41	lower	Other	HV1	NA	3.6	Book reading	3
HV1/BR/arlbr1	CHI	male	1985	1989	4	117	lower	Child	HV1	4;11.23	4.94	Book reading	4
HV1/BR/arlbr1	MOT	female	1985	1989	4	563	lower	PrimaryCaregiver	HV1	NA	4.94	Book reading	4
HV1/BR/arlbr1	EX1	NA	1985	1989	4	17	lower	Other	HV1	NA	4.94	Book reading	4
HV1/BR/arlbr1	EX2	NA	1985	1989	4	48	lower	Other	HV1	NA	4.94	Book reading	4
HV1/BR/arlbr1	SIS	female	1985	1989	4	8	lower	Peer	HV1	NA	4.94	Book reading	4
HV1/BR/astbr1	CHI	female	1984	1988	2	442	lower	Child	HV1	3;09.16	3.76	Book reading	3
HV1/BR/astbr1	MOT	female	1984	1988	2	601	lower	PrimaryCaregiver	HV1	NA	3.76	Book reading	3
HV1/BR/astbr1	EX1	NA	1984	1988	2	51	lower	Other	HV1	NA	3.76	Book reading	3
HV1/BR/bobbr1	CHI	male	1985	1989	2	155	lower	Child	HV1	4;3.05	4.25	Book reading	4
HV1/BR/bobbr1	MOT	female	1985	1989	2	1041	lower	PrimaryCaregiver	HV1	NA	4.25	Book reading	4
HV1/BR/bobbr1	INV	NA	1985	1989	2	17	lower	Other	HV1	NA	4.25	Book reading	4
HV1/BR/brabr1	CHI	male	1984	1988	3	296	lower	Child	HV1	3;7.20	3.6	Book reading	3
HV1/BR/brabr1	MOT	female	1984	1988	3	610	lower	PrimaryCaregiver	HV1	NA	3.6	Book reading	3
HV1/BR/brabr1	INV	NA	1984	1988	3	118	lower	Other	HV1	NA	3.6	Book reading	3
HV1/BR/brabr1	GRM	NA	1984	1988	3	9	lower	Other	HV1	NA	3.6	Book reading	3
HV1/BR/bribr1	CHI	male	1984	1988	3	88	lower	Child	HV1	3;8.25	3.69	Book reading	3
HV1/BR/bribr1	MOT	female	1984	1988	3	1780	lower	PrimaryCaregiver	HV1	NA	3.69	Book reading	3
HV1/BR/bribr1	BRO	male	1984	1988	3	16	lower	Peer	HV1	NA	3.69	Book reading	3
HV1/BR/bribr1	INV	NA	1984	1988	3	13	lower	Other	HV1	NA	3.69	Book reading	3
HV1/BR/brnbr1	CHI	female	1985	1989	2	10	NA	Child	HV1	4;2.01	4.17	Book reading	4
HV1/BR/brnbr1	MOT	female	1985	1989	2	374	NA	PrimaryCaregiver	HV1	NA	4.17	Book reading	4
HV1/BR/brnbr1	INV	NA	1985	1989	2	4	NA	Other	HV1	NA	4.17	Book reading	4
HV1/BR/brtbr1	CHI	female	1985	1989	2	65	NA	Child	HV1	3;8.01	3.67	Book reading	3
HV1/BR/brtbr1	MOT	female	1985	1989	2	1534	NA	PrimaryCaregiver	HV1	NA	3.67	Book reading	3
HV1/BR/brtbr1	INV	NA	1985	1989	2	47	NA	Other	HV1	NA	3.67	Book reading	3
HV1/BR/casbr1	CHI	male	1984	1988	2	99	lower	Child	HV1	4;1.12	4.09	Book reading	4
HV1/BR/casbr1	MOT	female	1984	1988	2	491	lower	PrimaryCaregiver	HV1	NA	4.09	Book reading	4
HV1/BR/casbr1	INV	NA	1984	1988	2	100	lower	Other	HV1	NA	4.09	Book reading	4
HV1/BR/catbr1	CHI	female	1985	1989	4	57	lower	Child	HV1	3;11.25	3.94	Book reading	3
HV1/BR/catbr1	MOT	female	1985	1989	4	642	lower	PrimaryCaregiver	HV1	NA	3.94	Book reading	3
HV1/BR/catbr1	SIS	female	1985	1989	4	17	lower	Peer	HV1	NA	3.94	Book reading	3
HV1/BR/catbr1	BRO	male	1985	1989	4	11	lower	Peer	HV1	NA	3.94	Book reading	3
HV1/BR/catbr1	INV	NA	1985	1989	4	26	lower	Other	HV1	NA	3.94	Book reading	3
HV1/BR/chabr1	CHI	male	1984	1988	2	254	lower	Child	HV1	3;10.19	3.85	Book reading	3
HV1/BR/chabr1	MOT	female	1984	1988	2	1065	lower	PrimaryCaregiver	HV1	NA	3.85	Book reading	3
HV1/BR/chabr1	INV	NA	1984	1988	2	161	lower	Other	HV1	NA	3.85	Book reading	3
HV1/BR/clabr1	CHI	female	1984	1988	3	6	lower	Child	HV1	3;10.29	3.86	Book reading	3
HV1/BR/clabr1	MOT	female	1984	1988	3	499	lower	PrimaryCaregiver	HV1	NA	3.86	Book reading	3
HV1/BR/clabr1	EX1	NA	1984	1988	3	56	lower	Other	HV1	NA	3.86	Book reading	3
HV1/BR/clabr1	EX2	NA	1984	1988	3	7	lower	Other	HV1	NA	3.86	Book reading	3
HV1/BR/conbr1	CHI	male	1984	1988	4	83	lower	Child	HV1	4;3.13	4.26	Book reading	4
HV1/BR/conbr1	JAK	NA	1984	1988	4	76	lower	Other	HV1	NA	4.26	Book reading	4
HV1/BR/conbr1	MOT	female	1984	1988	4	898	lower	PrimaryCaregiver	HV1	NA	4.26	Book reading	4
HV1/BR/conbr1	EX1	NA	1984	1988	4	102	lower	Other	HV1	NA	4.26	Book reading	4
HV1/BR/conbr1	EX2	NA	1984	1988	4	25	lower	Other	HV1	NA	4.26	Book reading	4
HV1/BR/ctrbr1	CHI	male	1984	1988	2	196	lower	Child	HV1	3;10.19	3.85	Book reading	3
HV1/BR/ctrbr1	MOT	female	1984	1988	2	895	lower	PrimaryCaregiver	HV1	NA	3.85	Book reading	3
HV1/BR/ctrbr1	EX1	NA	1984	1988	2	57	lower	Other	HV1	NA	3.85	Book reading	3
HV1/BR/davbr1	CHI	male	1984	1988	4	195	lower	Child	HV1	4;0.19	4.02	Book reading	4
HV1/BR/davbr1	MOT	female	1984	1988	4	1472	lower	PrimaryCaregiver	HV1	NA	4.02	Book reading	4
HV1/BR/davbr1	EX1	NA	1984	1988	4	9	lower	Other	HV1	NA	4.02	Book reading	4
HV1/BR/davbr1	EX2	NA	1984	1988	4	4	lower	Other	HV1	NA	4.02	Book reading	4
HV1/BR/davbr1	FAT	male	1984	1988	4	4	lower	PrimaryCaregiver	HV1	NA	4.02	Book reading	4
HV1/BR/deabr1	CHI	male	1985	1989	2	33	lower	Child	HV1	3;10.30	3.86	Book reading	3
HV1/BR/deabr1	MOT	female	1985	1989	2	681	lower	PrimaryCaregiver	HV1	NA	3.86	Book reading	3
HV1/BR/deabr1	INV	NA	1985	1989	2	28	lower	Other	HV1	NA	3.86	Book reading	3
HV1/BR/devbr1	CHI	NA	1985	1989	2	422	lower	Child	HV1	3;8.04	3.67	Book reading	3
HV1/BR/devbr1	MOT	female	1985	1989	2	550	lower	PrimaryCaregiver	HV1	NA	3.67	Book reading	3
HV1/BR/devbr1	INV	NA	1985	1989	2	116	lower	Other	HV1	NA	3.67	Book reading	3
HV1/BR/diabr1	CHI	female	1984	1988	3	854	lower	Child	HV1	3;10.14	3.85	Book reading	3
HV1/BR/diabr1	MOT	female	1984	1988	3	1969	lower	PrimaryCaregiver	HV1	NA	3.85	Book reading	3
HV1/BR/diabr1	EX1	NA	1984	1988	3	41	lower	Other	HV1	NA	3.85	Book reading	3
HV1/BR/diabr1	SIB	NA	1984	1988	3	5	lower	Other	HV1	NA	3.85	Book reading	3
HV1/BR/donbr1	CHI	male	1984	1988	3	360	lower	Child	HV1	3;9.09	3.76	Book reading	3
HV1/BR/donbr1	MOT	female	1984	1988	3	566	lower	PrimaryCaregiver	HV1	NA	3.76	Book reading	3
HV1/BR/donbr1	EX1	NA	1984	1988	3	54	lower	Other	HV1	NA	3.76	Book reading	3
HV1/BR/donbr1	EX2	NA	1984	1988	3	8	lower	Other	HV1	NA	3.76	Book reading	3
HV1/BR/emibr1	CHI	female	1984	1988	3	97	lower	Child	HV1	3;07.23	3.6	Book reading	3
HV1/BR/emibr1	MOT	female	1984	1988	3	963	lower	PrimaryCaregiver	HV1	NA	3.6	Book reading	3
HV1/BR/emibr1	SIS	female	1984	1988	3	10	lower	Peer	HV1	NA	3.6	Book reading	3
HV1/BR/emibr1	EX1	NA	1984	1988	3	4	lower	Other	HV1	NA	3.6	Book reading	3
HV1/BR/ethbr1	CHI	male	1984	1988	2	127	lower	Child	HV1	3;9.14	3.76	Book reading	3
HV1/BR/ethbr1	MOT	female	1984	1988	2	965	lower	PrimaryCaregiver	HV1	NA	3.76	Book reading	3
HV1/BR/ethbr1	FAT	male	1984	1988	2	3	lower	PrimaryCaregiver	HV1	NA	3.76	Book reading	3
HV1/BR/frabr1	CHI	female	1985	1989	3	322	lower	Child	HV1	3;7.06	3.59	Book reading	3
HV1/BR/frabr1	MOT	female	1985	1989	3	1035	lower	PrimaryCaregiver	HV1	NA	3.59	Book reading	3
HV1/BR/frabr1	BRO	male	1985	1989	3	4	lower	Peer	HV1	NA	3.59	Book reading	3
HV1/BR/frabr1	EX1	NA	1985	1989	3	8	lower	Other	HV1	NA	3.59	Book reading	3
HV1/BR/geobr1	CHI	male	1985	1989	3	129	lower	Child	HV1	3;7.28	3.61	Book reading	3
HV1/BR/geobr1	MOT	female	1985	1989	3	854	lower	PrimaryCaregiver	HV1	NA	3.61	Book reading	3
HV1/BR/geobr1	EX1	NA	1985	1989	3	49	lower	Other	HV1	NA	3.61	Book reading	3
HV1/BR/geobr1	EX2	NA	1985	1989	3	5	lower	Other	HV1	NA	3.61	Book reading	3
HV1/BR/gilbr1	CHI	male	1984	1988	4	407	lower	Child	HV1	3;9.24	3.77	Book reading	3
HV1/BR/gilbr1	MOT	female	1984	1988	4	1153	lower	PrimaryCaregiver	HV1	NA	3.77	Book reading	3
HV1/BR/gilbr1	BAB	NA	1984	1988	4	2	lower	Other	HV1	NA	3.77	Book reading	3
HV1/BR/gilbr1	EX1	NA	1984	1988	4	104	lower	Other	HV1	NA	3.77	Book reading	3
HV1/BR/gilbr1	EX2	NA	1984	1988	4	179	lower	Other	HV1	NA	3.77	Book reading	3
HV1/BR/grebr1	CHI	male	1985	1989	3	336	lower	Child	HV1	3;8.18	3.68	Book reading	3
HV1/BR/grebr1	MOT	female	1985	1989	3	1968	lower	PrimaryCaregiver	HV1	NA	3.68	Book reading	3
HV1/BR/grebr1	EX1	NA	1985	1989	3	8	lower	Other	HV1	NA	3.68	Book reading	3
HV1/BR/grebr1	EX2	NA	1985	1989	3	6	lower	Other	HV1	NA	3.68	Book reading	3
HV1/BR/guybr1	CHI	male	1985	1989	3	334	lower	Child	HV1	3;11.09	3.92	Book reading	3
HV1/BR/guybr1	MOT	female	1985	1989	3	957	lower	PrimaryCaregiver	HV1	NA	3.92	Book reading	3
HV1/BR/guybr1	SIS	female	1985	1989	3	40	lower	Peer	HV1	NA	3.92	Book reading	3
HV1/BR/guybr1	INV	NA	1985	1989	3	49	lower	Other	HV1	NA	3.92	Book reading	3
HV1/BR/inabr1	CHI	female	1984	1988	2	196	lower	Child	HV1	3;09.10	3.76	Book reading	3
HV1/BR/inabr1	MOT	female	1984	1988	2	2797	lower	PrimaryCaregiver	HV1	NA	3.76	Book reading	3
HV1/BR/inabr1	INV	NA	1984	1988	2	14	lower	Other	HV1	NA	3.76	Book reading	3
HV1/BR/jacbr1	CHI	male	1984	1988	2	57	NA	Child	HV1	3;8.16	3.68	Book reading	3
HV1/BR/jacbr1	MOT	female	1984	1988	2	645	NA	PrimaryCaregiver	HV1	NA	3.68	Book reading	3
HV1/BR/jacbr1	INV	NA	1984	1988	2	32	NA	Other	HV1	NA	3.68	Book reading	3
HV1/BR/jambr1	CHI	male	1985	1989	5	257	lower	Child	HV1	4;0.02	4	Book reading	4
HV1/BR/jambr1	MOT	female	1985	1989	5	570	lower	PrimaryCaregiver	HV1	NA	4	Book reading	4
HV1/BR/jambr1	EX1	NA	1985	1989	5	49	lower	Other	HV1	NA	4	Book reading	4
HV1/BR/jambr1	EX2	NA	1985	1989	5	1	lower	Other	HV1	NA	4	Book reading	4
HV1/BR/jambr1	FAT	male	1985	1989	5	138	lower	PrimaryCaregiver	HV1	NA	4	Book reading	4
HV1/BR/jambr1	GRA	NA	1985	1989	5	2	lower	Other	HV1	NA	4	Book reading	4
HV1/BR/jasbr1	CHI	male	1985	1989	1	2	lower	Child	HV1	3;10.24	3.85	Book reading	3
HV1/BR/jasbr1	MOT	female	1985	1989	1	1603	lower	PrimaryCaregiver	HV1	NA	3.85	Book reading	3
HV1/BR/jeabr1	CHI	female	1985	1989	2	247	lower	Child	HV1	4;0.17	4.01	Book reading	4
HV1/BR/jeabr1	MOT	female	1985	1989	2	706	lower	PrimaryCaregiver	HV1	NA	4.01	Book reading	4
HV1/BR/jeabr1	INV	NA	1985	1989	2	37	lower	Other	HV1	NA	4.01	Book reading	4
HV1/BR/jebbr1	CHI	male	1985	1989	2	42	lower	Child	HV1	3;6.18	3.52	Book reading	3
HV1/BR/jebbr1	MOT	female	1985	1989	2	829	lower	PrimaryCaregiver	HV1	NA	3.52	Book reading	3
HV1/BR/jebbr1	INV	NA	1985	1989	2	1	lower	Other	HV1	NA	3.52	Book reading	3
HV1/BR/jenbr1	CHI	female	1985	1989	3	280	lower	Child	HV1	4;03.09	4.26	Book reading	4
HV1/BR/jenbr1	MOT	female	1985	1989	3	1329	lower	PrimaryCaregiver	HV1	NA	4.26	Book reading	4
HV1/BR/jenbr1	EX1	NA	1985	1989	3	25	lower	Other	HV1	NA	4.26	Book reading	4
HV1/BR/jenbr1	EX2	NA	1985	1989	3	23	lower	Other	HV1	NA	4.26	Book reading	4
HV1/BR/jerbr1	CHI	male	1985	1989	2	148	lower	Child	HV1	4;0.02	4	Book reading	4
HV1/BR/jerbr1	MOT	female	1985	1989	2	1246	lower	PrimaryCaregiver	HV1	NA	4	Book reading	4
HV1/BR/jerbr1	INV	NA	1985	1989	2	20	lower	Other	HV1	NA	4	Book reading	4
HV1/BR/jesbr1	CHI	female	1985	1989	2	265	lower	Child	HV1	3;7.01	3.58	Book reading	3
HV1/BR/jesbr1	MOT	female	1985	1989	2	1903	lower	PrimaryCaregiver	HV1	NA	3.58	Book reading	3
HV1/BR/jesbr1	INV	NA	1985	1989	2	43	lower	Other	HV1	NA	3.58	Book reading	3
HV1/BR/joebr1	CHI	male	1984	1988	2	60	lower	Child	HV1	4;3.13	4.26	Book reading	4
HV1/BR/joebr1	MOT	female	1984	1988	2	511	lower	PrimaryCaregiver	HV1	NA	4.26	Book reading	4
HV1/BR/joebr1	INV	NA	1984	1988	2	8	lower	Other	HV1	NA	4.26	Book reading	4
HV1/BR/joybr1	CHI	female	1985	1989	3	107	lower	Child	HV1	4;0.07	4.01	Book reading	4
HV1/BR/joybr1	MOT	female	1985	1989	3	660	lower	PrimaryCaregiver	HV1	NA	4.01	Book reading	4
HV1/BR/joybr1	SIS	female	1985	1989	3	40	lower	Peer	HV1	NA	4.01	Book reading	4
HV1/BR/joybr1	INV	NA	1985	1989	3	1	lower	Other	HV1	NA	4.01	Book reading	4
HV1/BR/jusbr1	CHI	male	1984	1988	3	546	lower	Child	HV1	3;9.22	3.77	Book reading	3
HV1/BR/jusbr1	MOT	female	1984	1988	3	1617	lower	PrimaryCaregiver	HV1	NA	3.77	Book reading	3
HV1/BR/jusbr1	COU	NA	1984	1988	3	9	lower	Peer	HV1	NA	3.77	Book reading	3
HV1/BR/jusbr1	INV	NA	1984	1988	3	150	lower	Other	HV1	NA	3.77	Book reading	3
HV1/BR/karbr1	CHI	female	1984	1988	3	368	lower	Child	HV1	3;09.03	3.75	Book reading	3
HV1/BR/karbr1	MOT	female	1984	1988	3	1695	lower	PrimaryCaregiver	HV1	NA	3.75	Book reading	3
HV1/BR/karbr1	SIS	female	1984	1988	3	78	lower	Peer	HV1	NA	3.75	Book reading	3
HV1/BR/karbr1	INV	NA	1984	1988	3	25	lower	Other	HV1	NA	3.75	Book reading	3
HV1/BR/kevbr1	CHI	male	1984	1988	3	104	lower	Child	HV1	3;09.27	3.77	Book reading	3
HV1/BR/kevbr1	MOT	female	1984	1988	3	1544	lower	PrimaryCaregiver	HV1	NA	3.77	Book reading	3
HV1/BR/kevbr1	INV1	NA	1984	1988	3	84	lower	Other	HV1	NA	3.77	Book reading	3
HV1/BR/kevbr1	INV2	NA	1984	1988	3	8	lower	Other	HV1	NA	3.77	Book reading	3
HV1/BR/kurbr1	CHI	male	1984	1988	5	117	lower	Child	HV1	3;11.27	3.94	Book reading	3
HV1/BR/kurbr1	MOT	female	1984	1988	5	1633	lower	PrimaryCaregiver	HV1	NA	3.94	Book reading	3
HV1/BR/kurbr1	SIS	female	1984	1988	5	121	lower	Peer	HV1	NA	3.94	Book reading	3
HV1/BR/kurbr1	INV1	NA	1984	1988	5	107	lower	Other	HV1	NA	3.94	Book reading	3
HV1/BR/kurbr1	INV2	NA	1984	1988	5	12	lower	Other	HV1	NA	3.94	Book reading	3
HV1/BR/kurbr1	AUN	female	1984	1988	5	8	lower	Other	HV1	NA	3.94	Book reading	3
HV1/BR/marbr1	CHI	female	1985	1989	3	10	NA	Child	HV1	4;01.23	4.1	Book reading	4
HV1/BR/marbr1	MOT	female	1985	1989	3	1504	NA	PrimaryCaregiver	HV1	NA	4.1	Book reading	4
HV1/BR/marbr1	INV	NA	1985	1989	3	46	NA	Other	HV1	NA	4.1	Book reading	4
HV1/BR/marbr1	SIS	female	1985	1989	3	2	NA	Peer	HV1	NA	4.1	Book reading	4
HV1/BR/maybr1	CHI	female	1985	1989	2	341	lower	Child	HV1	3;10.26	3.86	Book reading	3
HV1/BR/maybr1	MOT	female	1985	1989	2	1864	lower	PrimaryCaregiver	HV1	NA	3.86	Book reading	3
HV1/BR/maybr1	INV	NA	1985	1989	2	4	lower	Other	HV1	NA	3.86	Book reading	3
HV1/BR/megbr1	CHI	female	1984	1988	2	171	lower	Child	HV1	4;00.29	4.02	Book reading	4
HV1/BR/megbr1	MOT	female	1984	1988	2	2849	lower	PrimaryCaregiver	HV1	NA	4.02	Book reading	4
HV1/BR/megbr1	INV	NA	1984	1988	2	117	lower	Other	HV1	NA	4.02	Book reading	4
HV1/BR/melbr1	CHI	female	1985	1989	2	209	lower	Child	HV1	4;0.08	4.01	Book reading	4
HV1/BR/melbr1	MOT	female	1985	1989	2	1177	lower	PrimaryCaregiver	HV1	NA	4.01	Book reading	4
HV1/BR/melbr1	INV	NA	1985	1989	2	8	lower	Other	HV1	NA	4.01	Book reading	4
HV1/BR/miabr1	CHI	female	1985	1989	2	161	lower	Child	HV1	4;00.22	4.02	Book reading	4
HV1/BR/miabr1	MOT	female	1985	1989	2	760	lower	PrimaryCaregiver	HV1	NA	4.02	Book reading	4
HV1/BR/miabr1	INV2	NA	1985	1989	2	43	lower	Other	HV1	NA	4.02	Book reading	4
HV1/BR/mitbr1	CHI	male	1984	1988	3	242	lower	Child	HV1	3;11.17	3.93	Book reading	3
HV1/BR/mitbr1	MOT	female	1984	1988	3	647	lower	PrimaryCaregiver	HV1	NA	3.93	Book reading	3
HV1/BR/mitbr1	INV1	NA	1984	1988	3	33	lower	Other	HV1	NA	3.93	Book reading	3
HV1/BR/mitbr1	INV2	NA	1984	1988	3	8	lower	Other	HV1	NA	3.93	Book reading	3
HV1/BR/monbr1	CHI	female	1985	1989	3	134	lower	Child	HV1	4;1.01	4.08	Book reading	4
HV1/BR/monbr1	MOT	female	1985	1989	3	789	lower	PrimaryCaregiver	HV1	NA	4.08	Book reading	4
HV1/BR/monbr1	SIS	female	1985	1989	3	20	lower	Peer	HV1	NA	4.08	Book reading	4
HV1/BR/monbr1	INV1	NA	1985	1989	3	101	lower	Other	HV1	NA	4.08	Book reading	4
HV1/BR/morbr1	CHI	male	1985	1989	2	157	lower	Child	HV1	4;11.08	4.92	Book reading	4
HV1/BR/morbr1	MOT	female	1985	1989	2	675	lower	PrimaryCaregiver	HV1	NA	4.92	Book reading	4
HV1/BR/morbr1	INV	NA	1985	1989	2	1	lower	Other	HV1	NA	4.92	Book reading	4
HV1/BR/mrkbr1	CHI	male	1984	1988	3	58	lower	Child	HV1	3;10.16	3.85	Book reading	3
HV1/BR/mrkbr1	MOT	female	1984	1988	3	921	lower	PrimaryCaregiver	HV1	NA	3.85	Book reading	3
HV1/BR/mrkbr1	BRO	male	1984	1988	3	3	lower	Peer	HV1	NA	3.85	Book reading	3
HV1/BR/mrkbr1	INV	NA	1984	1988	3	20	lower	Other	HV1	NA	3.85	Book reading	3
HV1/BR/nedbr1	CHI	male	1985	1989	4	328	lower	Child	HV1	4;11.01	4.92	Book reading	4
HV1/BR/nedbr1	MOT	female	1985	1989	4	1229	lower	PrimaryCaregiver	HV1	NA	4.92	Book reading	4
HV1/BR/nedbr1	BRO	male	1985	1989	4	30	lower	Peer	HV1	NA	4.92	Book reading	4
HV1/BR/nedbr1	GRM	NA	1985	1989	4	1	lower	Other	HV1	NA	4.92	Book reading	4
HV1/BR/nedbr1	INV	NA	1985	1989	4	3	lower	Other	HV1	NA	4.92	Book reading	4
HV1/BR/nicbr1	CHI	female	1984	1988	3	290	lower	Child	HV1	3;8.21	3.68	Book reading	3
HV1/BR/nicbr1	MOT	female	1984	1988	3	2534	lower	PrimaryCaregiver	HV1	NA	3.68	Book reading	3
HV1/BR/nicbr1	INV1	NA	1984	1988	3	52	lower	Other	HV1	NA	3.68	Book reading	3
HV1/BR/nicbr1	INV2	NA	1984	1988	3	7	lower	Other	HV1	NA	3.68	Book reading	3
HV1/BR/paubr1	CHI	male	1984	1988	2	9	lower	Child	HV1	3;11.12	3.93	Book reading	3
HV1/BR/paubr1	MOT	female	1984	1988	2	1141	lower	PrimaryCaregiver	HV1	NA	3.93	Book reading	3
HV1/BR/paubr1	INV1	NA	1984	1988	2	33	lower	Other	HV1	NA	3.93	Book reading	3
HV1/BR/petbr1	CHI	male	1984	1988	3	374	lower	Child	HV1	3;8.22	3.69	Book reading	3
HV1/BR/petbr1	MOT	female	1984	1988	3	1623	lower	PrimaryCaregiver	HV1	NA	3.69	Book reading	3
HV1/BR/petbr1	INV	NA	1984	1988	3	4	lower	Other	HV1	NA	3.69	Book reading	3
HV1/BR/petbr1	BRO	male	1984	1988	3	2	lower	Peer	HV1	NA	3.69	Book reading	3
HV1/BR/rasbr1	CHI	female	1984	1989	2	217	lower	Child	HV1	5;0.08	5.01	Book reading	5
HV1/BR/rasbr1	MOT	female	1984	1989	2	1684	lower	PrimaryCaregiver	HV1	NA	5.01	Book reading	5
HV1/BR/rasbr1	INV	NA	1984	1989	2	13	lower	Other	HV1	NA	5.01	Book reading	5
HV1/BR/raubr1	CHI	male	1985	1989	4	412	lower	Child	HV1	3;9.15	3.76	Book reading	3
HV1/BR/raubr1	MOT	female	1985	1989	4	1043	lower	PrimaryCaregiver	HV1	NA	3.76	Book reading	3
HV1/BR/raubr1	BRO	male	1985	1989	4	12	lower	Peer	HV1	NA	3.76	Book reading	3
HV1/BR/raubr1	INV1	NA	1985	1989	4	23	lower	Other	HV1	NA	3.76	Book reading	3
HV1/BR/raubr1	INV2	NA	1985	1989	4	37	lower	Other	HV1	NA	3.76	Book reading	3
HV1/BR/rembr1	CHI	male	1984	1988	2	73	lower	Child	HV1	3;11.29	3.94	Book reading	3
HV1/BR/rembr1	MOT	female	1984	1988	2	626	lower	PrimaryCaregiver	HV1	NA	3.94	Book reading	3
HV1/BR/rembr1	INV	NA	1984	1988	2	53	lower	Other	HV1	NA	3.94	Book reading	3
HV1/BR/rilbr1	CHI	female	1985	1989	3	200	lower	Child	HV1	4;0.29	4.02	Book reading	4
HV1/BR/rilbr1	MOT	female	1985	1989	3	909	lower	PrimaryCaregiver	HV1	NA	4.02	Book reading	4
HV1/BR/rilbr1	BRO	male	1985	1989	3	11	lower	Peer	HV1	NA	4.02	Book reading	4
HV1/BR/rilbr1	INV1	NA	1985	1989	3	1	lower	Other	HV1	NA	4.02	Book reading	4
HV1/BR/rocbr1	CHI	female	1984	1988	3	333	lower	Child	HV1	4;00.14	4.01	Book reading	4
HV1/BR/rocbr1	MOT	female	1984	1988	3	2174	lower	PrimaryCaregiver	HV1	NA	4.01	Book reading	4
HV1/BR/rocbr1	INV	NA	1984	1988	3	91	lower	Other	HV1	NA	4.01	Book reading	4
HV1/BR/rocbr1	BRO	male	1984	1988	3	10	lower	Peer	HV1	NA	4.01	Book reading	4
HV1/BR/rosbr1	CHI	female	1985	1989	2	101	lower	Child	HV1	4;0.05	4	Book reading	4
